"id","species","EspecieOriginal","lon","lat","Localidad","Municipio","Departamento","Pais","Altitud","Fecha","Institucion","Colector","Evidencia","Publico"
"GBIF_416346749","Actitis macularius","Actitis macularia",-77.1046,8.04178,"UNGUIA","UNGU�A","CHOC�","CO","40","1959-02-25","ICN","Beattie, D. A.","specimen","Si"
"GBIF_416346746","Actitis macularius","Actitis macularia",-77.1667,8.33333,"Coast","ACAND�","CHOC�","CO",NA,"1959-03-13","ICN","Beattie, D. A.","specimen","Si"
"GBIF_416346747","Actitis macularius","Actitis macularia",-76.7167,8.1,"Coast","TURBO","ANTIOQUIA","CO",NA,"1959-01-29","ICN","Beattie, D. A.","specimen","Si"
"GBIF_416346750","Actitis macularius","Actitis macularia",-76.7,8.05,"SE Turbo","TURBO","ANTIOQUIA","CO","20","1959-02-05","ICN","Beattie, D. A.","specimen","Si"
"GBIF_416346751","Actitis macularius","Actitis macularia",-72.956,5.54884,"TOTA, LAGUNA DE","AQUITANIA","BOYAC�","CO","3070","1945-08-31","ICN","Borrero, J. I.","specimen","Si"
"SiB_1344047","Actitis macularius","Actitis macularius",-72.1652,12.2069,"Cabo - De La Vela,","Uribia","La Guajira","CO",NA,"2009-02-09","RNOA","Bejarano-Cerrejon-Co","humanobservation","Si"
"SiB_1446265","Actitis macularius","Actitis macularius",-74.6834,11.0059,"Via Parque - Isla De Salamanca","Sitionuevo","Magdalena","CO","5","1991-02-03","RNOA","Johana Patricia Reyes","humanobservation","Si"
"SiB_689368","Actitis macularius","Actitis macularius",-73.1464,11.3886,"Laguna Grande","Riohacha","Guajira","CO",NA,"2008-01-26","CALIDRIS",NA,"humanobservation","Si"
"SiB_1046731","Actitis macularius","Actitis macularius",-73.3548,11.0558,"Valle De San Salvador","Dibulla","La Guajira","CO","0.5","2005-01-01","RNOA","Ralf Strewe","humanobservation","Si"
"SiB_1342721","Actitis macularius","Actitis macularius",-73.15,11.3166,"Laguna - El Pantano,","Riohacha","La Guajira","CO",NA,"2007-04-25","RNOA","Bejarano-Cerrejon-Co","humanobservation","Si"
"SiB_1342891","Actitis macularius","Actitis macularius",-73.0912,11.4282,"Santuario De Fauna Y Flora Los Flamencos","Riohacha","La Guajira","CO",NA,"2007-04-25","RNOA","Bejarano-Cerrejon-Co","humanobservation","Si"
"SiB_689424","Actitis macularius","Actitis macularius",-72.5972,11.7406,"Salinas de Manaure","Manaure","Guajira","CO",NA,"2008-01-26","CALIDRIS",NA,"humanobservation","Si"
"SiB_1131609","Actitis macularius","Actitis macularia",-72.5272,11.1473,"Rehabilitaci�n-Compensaci�n","Albania","La Guajira","CO","100","2007-11-07","RNOA","Wilmer Nu�ez","humanobservation","Si"
"SiB_1446269","Actitis macularius","Actitis macularius",-75.4996,10.4551,"Ci�naga - La Virgen. Tesca,","Distrito Tur�stico Y Cultural De Cartagena De Indias","Bol�var","CO","0.5","2002-10-09","RNOA","Loreta Rosselli","humanobservation","Si"
"SiB_1468477","Actitis macularius","Actitis macularius",-75.25,10.75,"Ci�naga del Totumo","Santa Catalina","Bol�var","CO",NA,"2008-07-12","CALIDRIS","Red Nacional de Observadores de Aves de Colombia","humanobservation","Si"
"SiB_1462590","Actitis macularius","Actitis macularius",-75.1116,10.4979,"Embalse del Guajaro","Repel�n","Atl�ntico","CO",NA,"2002-02-02","CALIDRIS","Red Nacional de Observadores de Aves de Colombia","humanobservation","Si"
"SiB_1468279","Actitis macularius","Actitis macularius",-75.5167,10.2986,"Canal del Dique","Cartagena","Bol�var","CO",NA,"2008-07-06","CALIDRIS","Red Nacional de Observadores de Aves de Colombia","humanobservation","Si"
"SiB_1464136","Actitis macularius","Actitis macularius",-75.6509,10.1763,"Bar�","Cartagena","Bol�var","CO",NA,"2005-02-10","CALIDRIS","Red Nacional de Observadores de Aves de Colombia","humanobservation","Si"
"SiB_689536","Actitis macularius","Actitis macularius",-75.2592,10.7997,"Salinas Galerazamba-Bocatocino","Santa Catalina","Bol�var","CO",NA,"2008-01-27","CALIDRIS",NA,"humanobservation","Si"
"SiB_1327878","Actitis macularius","Actitis macularius",-74.9833,10.7429,"Municipio De Usiacur�","Usiacur�","Atl�ntico","CO",NA,"2004-04-25","RNOA","Orniat","humanobservation","Si"
"SiB_1473005","Actitis macularius","Actitis macularius",-74.7468,10.9631,"Palermo","Sitionuevo","Magdalena","CO",NA,"2011-02-19","CALIDRIS","Red Nacional de Observadores de Aves de Colombia","humanobservation","Si"
"SiB_1469340","Actitis macularius","Actitis macularius",-74.7564,10.8554,"Ci�naga de Malambo","Malambo","Atl�ntico","CO",NA,"2009-02-14","CALIDRIS","Red Nacional de Observadores de Aves de Colombia","humanobservation","Si"
"SiB_689580","Actitis macularius","Actitis macularius",-74.74,10.8046,"Crocodilia colombiana","Sabanagrande","Atl�ntico","CO",NA,"2008-01-28","CALIDRIS",NA,"humanobservation","Si"
"SiB_1331952","Actitis macularius","Actitis macularius",-73.1596,10.4961,"R�o - Badillo, Patillal","Valledupar","Cesar","CO",NA,"2004-04-25","RNOA","Observador desconocido","humanobservation","Si"
"SiB_690029","Actitis macularius","Actitis macularius",-75.7831,9.38527,"Nisperal","San Antero","C�rdoba","CO",NA,"2007-12-01","CALIDRIS",NA,"humanobservation","Si"
"SiB_1464180","Actitis macularius","Actitis macularius",-75.8444,9.13675,"Ci�naga de Ba��","Lorica","C�rdoba","CO",NA,"2005-02-12","CALIDRIS","Red Nacional de Observadores de Aves de Colombia","humanobservation","Si"
"SiB_1467497","Actitis macularius","Actitis macularius",-75.7841,9.39289,"Nisperal","San Antero","C�rdoba","CO",NA,"2007-07-26","CALIDRIS","Red Nacional de Observadores de Aves de Colombia","humanobservation","Si"
"SiB_1046818","Actitis macularius","Actitis macularius",-74.6,9.1166,"Ci�naga Del Pozuelo","Momp�s","Bol�var","CO",NA,"1990-01-01","RNOA","Observador desconocido","humanobservation","Si"
"SiB_1046668","Actitis macularius","Actitis macularius",-75.1,8.35,"Ci�naga - De Ayapel,","Ayapel","C�rdoba","CO","22","2000-01-01","RNOA","Adrian Humberto Escobar V�lez","humanobservation","Si"
"SiB_1142994","Actitis macularius","Actitis macularius",-75.4217,8.1233,"Zoocriadero Los Caimanes","Buenavista","C�rdoba","CO","55","2004-03-20","RNOA","Juan Guillermo Jaramillo Vel�squez","humanobservation","Si"
"SiB_1142970","Actitis macularius","Actitis macularius",-75.2098,8,"El T�lamo","Caucasia","Antioquia","CO","80","2001-10-15","RNOA","Ramon Cadavid Correa","humanobservation","Si"
"SiB_204495","Actitis macularius","Tringa macularia  (Linnaeus, 1766)",-75.2,7.99,NA,"Caucasia","Antioquia","CO","200",NA,"Corantioquia",NA,"humanobservation","Si"
"SiB_1393110","Actitis macularius","Actitis macularius",-75.4,7.9666,"Municipio De Montelibano","Montel�bano","C�rdoba","CO","140","2002-03-26","RNOA","Rodrigo Gaviria Obreg�n","humanobservation","Si"
"SiB_204492","Actitis macularius","Tringa macularia  (Linnaeus, 1766)",-74.87,7.5,NA,"Zaragoza","Antioquia","CO","100",NA,"Corantioquia",NA,"humanobservation","Si"
"SiB_1326603","Actitis macularius","Actitis macularius",-74.868,7.48476,"Municipio De Zaragoza","Zaragoza","Antioquia","CO",NA,"2004-04-25","RNOA","SAO Sociedad Antioque�a de Ornitologia","humanobservation","Si"
"SiB_1781460","Actitis macularius","Actitis macularius",-73.7722,7.49889,"""El Cerrito, Sector Ca�o Peru�tano""","Sabana  de Torres","Santander","CO","56","2012-03-14","Cabildo Verde Sabana de Torres","Fernando C�ceres; Beatriz Mojica","humanobservation","Si"
"SiB_1303975","Actitis macularius","Actitis macularius",-70.7981,7.0625,"Ca�o - Lim�n, Muelle La Yuca A Los Angelitos","Arauca","Arauca","CO",NA,"2004-05-05","RNOA","Rosario Rojas","humanobservation","Si"
"SiB_1333265","Actitis macularius","Actitis macularius",-77.408,6.219,"Pen�nsula - Utr�a, Camino A Cocalito","Bah�a Solano","Choc�","CO",NA,"2004-04-25","RNOA","Observador desconocido","humanobservation","Si"
"SiB_202809","Actitis macularius","Tringa macularia  (Linnaeus, 1766)",-75.46,6.65,NA,"Santa Rosa de Osos","Antioquia","CO",NA,NA,"Corantioquia",NA,"humanobservation","Si"
"SiB_190675","Actitis macularius","Tringa macularia  (Linnaeus, 1766)",-75.75,6.51,NA,"Sopetr�n","Antioquia","CO","800",NA,"Corantioquia",NA,"humanobservation","Si"
"SiB_197996","Actitis macularius","Tringa macularia  (Linnaeus, 1766)",-75.59,6.21,NA,"Medell�n","Antioquia","CO","1500",NA,"Corantioquia",NA,"humanobservation","Si"
"SiB_200447","Actitis macularius","Tringa macularia  (Linnaeus, 1766)",-75.65,6.16,NA,"La Estrella","Antioquia","CO",NA,NA,"Corantioquia",NA,"humanobservation","Si"
"SiB_1465360","Actitis macularius","Actitis macularius",-75.1218,6.77267,"Represa Porce II","G�mez Plata","Antioquia","CO",NA,"2006-02-12","CALIDRIS","Red Nacional de Observadores de Aves de Colombia","humanobservation","Si"
"SiB_1467861","Actitis macularius","Actitis macularius",-75.4944,6.09889,"Embalse la Fe","Retiro","Antioquia","CO",NA,"2008-02-10","CALIDRIS","Red Nacional de Observadores de Aves de Colombia","humanobservation","Si"
"SiB_1143016","Actitis macularius","Actitis macularius",-75.1912,6.27028,"Embalse El Pe�ol - Guatap�","Guatape","Antioquia","CO","1925","1993-04-11","RNOA","Ricardo Krikorian","humanobservation","Si"
"SiB_1313709","Actitis macularius","Actitis macularius",-75.7556,6.54975,"Quebrada - La Noque,","Santaf� De Antioquia","Antioquia","CO",NA,"2004-04-25","RNOA","SAO Sociedad Antioque�a de Ornitologia","humanobservation","Si"
"SiB_1046786","Actitis macularius","Actitis macularius",-75.7449,6.50363,"Piscicola El Gaitero","Sopetr�n","Antioquia","CO","580","2000-10-15","RNOA","Rodrigo V�lez de Bedout","humanobservation","Si"
"SiB_235951","Actitis macularius","Actitis macularius",-75.0168,6.37186,"Vereda El Cerro, Sitio Embalse","Alejandr�a","Antioquia","CO","1286","2009-10-04","ISAGEN",NA,"humanobservation","Si"
"SiB_196255","Actitis macularius","Tringa macularia  (Linnaeus, 1766)",-74.58,6.18,NA,"Puerto Nare","Antioquia","CO","125",NA,"Corantioquia",NA,"humanobservation","Si"
"SiB_1213203","Actitis macularius","Actitis macularius",-74.7902,6.698,"Club Campestre - Llanogrande","Rionegro","Antioquia","CO","2141.5","2002-10-12","RNOA","Juan Guillermo Jaramillo Vel�squez","humanobservation","Si"
"SiB_1304461","Actitis macularius","Actitis macularius",-74.4208,6.47413,"Laguna - Cachimbero,","Puerto Berr�o","Antioquia","CO",NA,"2000-01-01","RNOA","SAO Sociedad Antioque�a de Ornitologia","humanobservation","Si"
"SiB_1046690","Actitis macularius","Actitis macularius",-74.8488,6.68438,"Cuchilla - El Romeral,La Estrella","La Estrella","Antioquia","CO","0.5","2002-01-18","RNOA","Ana Mar�a Casta�o Rivas","humanobservation","Si"
"SiB_237862","Actitis macularius","Actitis macularius",-74.8369,6.20347,"Embalse","San Carlos","Antioquia","CO","832","2009-12-07","ISAGEN",NA,"humanobservation","Si"
"SiB_116874","Actitis macularius","Actitis macularius",-74.8506,6.22253,"Central Hidroel�ctrica San Carlos, vereda Juanes, sitio Quebrada La Negra","San Carlos","Antioquia","CO","810","2006-12-16","ISAGEN",NA,"humanobservation","Si"
"SiB_1326772","Actitis macularius","Actitis macularius",-71.0156,6.9744,"Ca�o - Lim�n,","Arauca","Arauca","CO",NA,"2004-04-25","RNOA","Thomas Mc Nish","humanobservation","Si"
"SiB_1356629","Actitis macularius","Actitis macularius",-67.5027,6.09825,"Ca�o Negro","Puerto Carre�o","Vichada","CO","137.5","2010-02-23","RNOA","Jorge Becerra","humanobservation","Si"
"SiB_1046707","Actitis macularius","Actitis macularius",-76.1,5.2,"Pueblo Rico","Pueblo Rico","Risaralda","CO","0.5","1991-04-08","RNOA","F. Gary Stiles","humanobservation","Si"
"SiB_1469347","Actitis macularius","Actitis macularius",-75.736,5.05557,"Represa San Francisco","Chinchin�","Caldas","CO",NA,"2009-02-14","CALIDRIS","Red Nacional de Observadores de Aves de Colombia","humanobservation","Si"
"SiB_1464069","Actitis macularius","Actitis macularius",-75.6667,5.08333,"Monte Lindo","Palestina","Caldas","CO",NA,"2005-02-06","CALIDRIS","Red Nacional de Observadores de Aves de Colombia","humanobservation","Si"
"SiB_1472599","Actitis macularius","Actitis macularius",-75.6367,5.13889,"Jag�eyes Planes de Neira","Manizales","Caldas","CO",NA,"2011-02-12","CALIDRIS","Red Nacional de Observadores de Aves de Colombia","humanobservation","Si"
"SiB_1309054","Actitis macularius","Actitis macularius",-75.5336,5.0945,"Reservas Naturales Privada - Rio Blanco","Manizales","Caldas","CO","3160.5","2004-05-05","RNOA","Sergio Ocampo Tob�n","humanobservation","Si"
"SiB_1213259","Actitis macularius","Actitis macularius",-75.5,5.083,"Municipio De Manizales","Manizales","Caldas","CO",NA,"2000-01-01","RNOA","Juan C. Verhelst","humanobservation","Si"
"SiB_1357566","Actitis macularius","Actitis macularius",-74.25,5.75,"Serran�a De Las Quinchas","Otanche","Boyac�","CO","975","2010-04-22","RNOA","Clara Isabel Boh�rquez","humanobservation","Si"
"SiB_1393078","Actitis macularius","Actitis macularius",-74.7833,5.6667,"Rio Manso - Vereda San Roque","Norcasia","Caldas","CO","203","2004-03-12","RNOA","Sergio Ocampo Tob�n","humanobservation","Si"
