"id","species","EspecieOriginal","lon","lat","Localidad","Municipio","Departamento","Pais","Altitud","Fecha","Institucion","Colector","Evidencia","Publico"
"GBIF_373642889","Melanerpes rubricapillus","Melanerpes rubricapillus ssp. rubricapillus",-74.1482,11.1756,"Magdalena, Santa Marta (La Tigrera)","SANTA MARTA","MAGDALENA","CO",NA,"1977-04-11","ICN",NA,"specimen","Si"
"GBIF_373642928","Melanerpes rubricapillus","Melanerpes rubricapillus ssp. rubricapillus",-74.1768,11.2336,"Magdalena, Santa Marta","SANTA MARTA","MAGDALENA","CO",NA,"1941-04-24","ICN","Lehmann, F. C.","specimen","Si"
"GBIF_727772493","Melanerpes rubricapillus","Melanerpes rubricapillus",-75.00797,6.357222,"Vereda El Jag�e, Sitio Puente Cable","San Rafael","Antioquia","CO","1144","2009-07-31","ISAGEN",NA,"unknown","Si"
"GBIF_373642852","Melanerpes rubricapillus","Melanerpes rubricapillus ssp. rubricapillus",-73.0555,6.74612,"Santander, R�o Chicamocha, Aratoca","ARATOCA","SANTANDER","CO","900","1962-06-13","ICN","Bernal, P.","specimen","Si"
"GBIF_373642922","Melanerpes rubricapillus","Melanerpes rubricapillus ssp. rubricapillus",-74.6166,5.66814,"Cund., Puerto Salgar, Hacienda Vizcaya","PUERTO SALGAR","CUNDINAMARCA","CO",NA,"1968-11-01","ICN","Bernal, P.","specimen","Si"
"GBIF_373642903","Melanerpes rubricapillus","Melanerpes rubricapillus ssp. rubricapillus",-74.6141,4.17086,"Tolima, 5 k al sureste de Melgar","MELGAR","TOLIMA","CO",NA,"1961-03-12","ICN","Borrero, J. I.","specimen","Si"
"GBIF_373642898","Melanerpes rubricapillus","Melanerpes rubricapillus ssp. rubricapillus",-74.3435,4.59371,"Cund., Santandercito","SAN ANTONIO DEL TEQUENDAMA","CUNDINAMARCA","CO",NA,"1961-04-05","ICN","Olivares, A.","specimen","Si"
"GBIF_373642893","Melanerpes rubricapillus","Melanerpes rubricapillus ssp. rubricapillus",-74.4035,4.67717,"Cund., La Mesa, Vda. Payacal","LA MESA","CUNDINAMARCA","CO",NA,"1961-05-07","ICN","Olivares, A.","specimen","Si"
"GBIF_373642909","Melanerpes rubricapillus","Melanerpes rubricapillus ssp. rubricapillus",-74.5406,4.4835,"Cund., Apulo (R, Reyes), R�o Calandaima","APULO","CUNDINAMARCA","CO",NA,"1970-02-01","ICN",NA,"specimen","Si"
"GBIF_373642874","Melanerpes rubricapillus","Melanerpes rubricapillus ssp. rubricapillus",-74.4638,4.65613,"Cund., San javier (La Mesa)","LA MESA","CUNDINAMARCA","CO","1000","1955-04-05","ICN",NA,"specimen","Si"
"GBIF_373642880","Melanerpes rubricapillus","Melanerpes rubricapillus ssp. rubricapillus",-74.3667,4.35,"Cundinamarca, Fusagasug�","FUSAGASUG�","CUNDINAMARCA","CO",NA,"1946-10-11","ICN","Cort�s, J. R.","specimen","Si"
"GBIF_373642866","Melanerpes rubricapillus","Melanerpes rubricapillus ssp. rubricapillus",-75.0582,3.9933,"Guamo (T.) Las Mercedes","GUAMO","TOLIMA","CO",NA,"1953-12-22","ICN","Olivares, A.","specimen","Si"
"GBIF_373642856","Melanerpes rubricapillus","Melanerpes rubricapillus ssp. rubricapillus",-75.0197,3.92939,"Tolima, Estaci�n Salda�a","SALDA�A","TOLIMA","CO",NA,"1944-07-01","ICN","Herrera, C.","specimen","Si"
"GBIF_373642863","Melanerpes rubricapillus","Melanerpes rubricapillus ssp. rubricapillus",-75.1555,3.73891,"Tolima, Coyaima","COYAIMA","TOLIMA","CO",NA,"1945-07-20","ICN","Herrera, C.","specimen","Si"
"SiB_1343918","Melanerpes rubricapillus","Melanerpes rubricapillus",-71.3333,12.1666,"Parque Natural Nacional - De Macuira","Uribia","La Guajira","CO",NA,"2007-04-25","RNOA","Bejarano-Cerrejon-Co","humanobservation","Si"
"SiB_1344561","Melanerpes rubricapillus","Melanerpes rubricapillus",-74.1166,11.15,"Minca","Santa Marta","Magdalena","CO",NA,"2004-04-25","RNOA","Orlando Lagos Ch","humanobservation","Si"
"SiB_1344060","Melanerpes rubricapillus","Melanerpes rubricapillus",-74.0026,11.285,"Parque Natural Nacional - Tayrona - Calabazo Pueblito","Santa Marta","Magdalena","CO",NA,"2004-04-25","RNOA","Orlando Lagos Ch","humanobservation","Si"
"SiB_1344102","Melanerpes rubricapillus","Melanerpes rubricapillus",-74.0941,11.104,"Cuchilla - San Lorenzo, Finca - La Victoria","Santa Marta","Magdalena","CO",NA,"2004-04-25","RNOA","Orlando Lagos Ch","humanobservation","Si"
"SiB_1344639","Melanerpes rubricapillus","Melanerpes rubricapillus",-74.033,11.1166,"San Lorenzo","Santa Marta","Magdalena","CO",NA,"2004-04-25","RNOA","Orlando Lagos Ch","humanobservation","Si"
"SiB_1345411","Melanerpes rubricapillus","Melanerpes rubricapillus",-74.6834,11.0059,"Via Parque - Isla De Salamanca","Sitionuevo","Magdalena","CO",NA,"2004-04-25","RNOA","Orlando Lagos Ch","humanobservation","Si"
"SiB_1344138","Melanerpes rubricapillus","Melanerpes rubricapillus",-74.2312,11.1938,"Santa Marta-Desembocadura R�o Gaira","Santa Marta","Magdalena","CO",NA,"2004-04-25","RNOA","Orlando Lagos Ch","humanobservation","Si"
"SiB_1344922","Melanerpes rubricapillus","Melanerpes rubricapillus",-74.199,11.143,"Reserva Mamankana - Hotel Zuana","Santa Marta","Magdalena","CO",NA,"2004-04-25","RNOA","Orlando Lagos Ch","humanobservation","Si"
"SiB_215039","Melanerpes rubricapillus","Melanerpes rubricapillus",-74.0361,11.0071,"corregimiento de  Siberia","Cienaga","Magdalena","CO","1323.5","2010-07-22","FPSNSM","Orlando Padilla","unknown","Si"
"SiB_1343562","Melanerpes rubricapillus","Melanerpes rubricapillus",-73.3548,11.0558,"Valle De San Salvador","Dibulla","La Guajira","CO",NA,"2007-04-25","RNOA","Bejarano-Cerrejon-Co","humanobservation","Si"
"SiB_1342705","Melanerpes rubricapillus","Melanerpes rubricapillus",-73.15,11.3166,"Laguna - El Pantano,","Riohacha","La Guajira","CO",NA,"2007-04-25","RNOA","Bejarano-Cerrejon-Co","humanobservation","Si"
"SiB_1344417","Melanerpes rubricapillus","Melanerpes rubricapillus",-73.944,11.3112,"Parque Natural Nacional - Tayrona","Santa Marta","Magdalena","CO",NA,"2004-04-25","RNOA","Orlando Lagos Ch","humanobservation","Si"
"SiB_696131","Melanerpes rubricapillus","Melanerpes rubricapillus Gilliard 1940",-73.7992,11.1236,"Hacienda Cafetera La Victoria, Via Minca - San Lorenzo, Sierra Nevada de Santa Marta","Santa Marta","Magdalena","CO","1200","2009-11-03","SELVA","Bayly  Nicholas","livingspecimen","Si"
"SiB_1132782","Melanerpes rubricapillus","Melanerpes rubricapillus",-72.5272,11.1473,"Cerrejon","Albania","La Guajira","CO","100","2007-11-07","RNOA","Wilmer Nu�ez","humanobservation","Si"
"SiB_1343176","Melanerpes rubricapillus","Melanerpes rubricapillus",-72.6162,11.1567,"Valle - Del Cerrejon, Compensaci�n","Albania","La Guajira","CO",NA,"2009-04-13","RNOA","Marlon Gonzales","humanobservation","Si"
"SiB_1342833","Melanerpes rubricapillus","Melanerpes rubricapillus",-72.889,11.5333,"Ca�o Lagarto","Riohacha","La Guajira","CO",NA,"2007-05-11","RNOA","Bejarano-Cerrejon-Co","humanobservation","Si"
"SiB_1342954","Melanerpes rubricapillus","Melanerpes rubricapillus",-72.5353,11.1677,"Valle - Del Cerrejon, Arroyo Bruno","Albania","La Guajira","CO",NA,"2009-04-13","RNOA","Marlon Gonzales","humanobservation","Si"
"SiB_1343099","Melanerpes rubricapillus","Melanerpes rubricapillus",-72.5667,11.1139,"Valle - Del Cerrejon, Tabaco","Albania","La Guajira","CO",NA,"2009-04-13","RNOA","Marlon Gonzales","humanobservation","Si"
"SiB_1342832","Melanerpes rubricapillus","Melanerpes rubricapillus",-72.8815,11.5369,"Ca�o Lagarto","Riohacha","La Guajira","CO",NA,"2007-05-11","RNOA","Bejarano-Cerrejon-Co","humanobservation","Si"
"SiB_1328072","Melanerpes rubricapillus","Melanerpes rubricapillus",-75.4996,10.4551,"Ci�naga - La Virgen. Tesca,","Cartagena","Bol�var","CO",NA,"2004-04-25","RNOA","Art Hurt","humanobservation","Si"
"SiB_1328160","Melanerpes rubricapillus","Melanerpes rubricapillus",-75.55,10.4166,"El Laguito - Cartagena","Cartagena","Bol�var","CO",NA,"2004-04-25","RNOA","Art Hurt","humanobservation","Si"
"SiB_1344162","Melanerpes rubricapillus","Melanerpes rubricapillus",-74.4025,10.4091,"Bosque - Monterrubio,","Pivijay","Magdalena","CO",NA,"2005-02-09","RNOA","Orlando Lagos Ch","humanobservation","Si"
"SiB_1327846","Melanerpes rubricapillus","Melanerpes rubricapillus",-74.9833,10.7429,"Municipio De Usiacur�","Usiacur�","Atl�ntico","CO",NA,"2004-04-25","RNOA","Orniat","humanobservation","Si"
"SiB_1327820","Melanerpes rubricapillus","Melanerpes rubricapillus",-74.7466,10.9261,"Municipio De Soledad","Soledad","Atl�ntico","CO",NA,"2004-04-25","RNOA","Orniat","humanobservation","Si"
"SiB_656067","Melanerpes rubricapillus","Melanerpes rubricapillus",-73.3105,10.5752,"NW de Valledupar","Valledupar","Cesar","CO","500","2002-11-06","IAvH","Mauricio �lvarez Rebolledo","machineobservation","Si"
