"id","species","EspecieOriginal","lon","lat","Localidad","Municipio","Departamento","Pais","Altitud","Fecha","Institucion","Colector","Evidencia","Publico"
"GBIF_768986707","Vanellus chilensis","Vanellus chilensis",-76.31978,4.751306,"Cerro Ingles, Serrania de los Paraguas, Serraniagua","El Cairo","Valle del Cauca","CO","2165","2006-06-03","IAvH","AndrÈs M. Cuervo","unknown","Si"
"GBIF_373414505","Vanellus chilensis","Vanellus chilensis ssp. cayennensis",-76.0633,4.31382,"LA PAILA","ZARZAL","VALLE DEL CAUCA","CO",NA,"1940-07-27","ICN","Lehmann, F. C.","specimen","Si"
"GBIF_373414578","Vanellus chilensis","Vanellus chilensis ssp. cayennensis",-73.3556,4.09311,"PERALONSO","VILLAVICENCIO","META","CO",NA,"1975-09-04","ICN","Barriga, E.","specimen","Si"
"GBIF_373414584","Vanellus chilensis","Vanellus chilensis ssp. cayennensis",-73.5638,4.07755,"Carretera Villavicencio-Puerto LÛpez, Apiay","VILLAVICENCIO","META","CO",NA,"1955-11-16","ICN","Borrero, J. I.","specimen","Si"
"GBIF_373414550","Vanellus chilensis","Vanellus chilensis ssp. cayennensis",-73.3444,4.07012,"Llanos del Meta","VILLAVICENCIO","META","CO",NA,"1941-01-01","ICN","Lehmann, F. C.","specimen","Si"
"GBIF_373414560","Vanellus chilensis","Vanellus chilensis ssp. cayennensis",-72.6453,4.09856,"PUERTOL”PEZ","PUERTO L”PEZ","META","CO",NA,"1962-02-04","ICN","Leiva, J. P.","specimen","Si"
"GBIF_373414514","Vanellus chilensis","Vanellus chilensis ssp. cayennensis",-73.0243,3.55318,"Llanos orientales","SAN MARTÕN","META","CO",NA,"1967-03-05","ICN",NA,"specimen","Si"
"GBIF_373414591","Vanellus chilensis","Vanellus chilensis ssp. cayennensis",-73.4847,2.58541,"La Macarena sur","VISTA HERMOSA","META","CO","235","1959-01-25","ICN","Olivares, A.","specimen","Si"
"SiB_1343957","Vanellus chilensis","Vanellus chilensis",-71.3333,12.1666,"Parque Natural Nacional - De Macuira","Uribia","La Guajira","CO",NA,"2007-04-25","RNOA","Bejarano-Cerrejon-Co","humanobservation","Si"
"SiB_1144416","Vanellus chilensis","Vanellus chilensis",-74.2312,11.1938,"Santa Marta-Desembocadura RÌo Gaira","Distrito TurÌstico Cultural E HistÛrico De Santa Marta","Magdalena","CO","2","2006-06-26","RNOA","Walberto Naranjo Maury","humanobservation","Si"
"SiB_1144417","Vanellus chilensis","Vanellus chilensis",-74.1112,11.1249,"Bodegas Asetpor","Distrito TurÌstico Cultural E HistÛrico De Santa Marta","Magdalena","CO","13.5","2006-03-01","RNOA","Walberto Naranjo Maury","humanobservation","Si"
"SiB_1358587","Vanellus chilensis","Vanellus chilensis",-74.6834,11.0059,"Via Parque - Isla De Salamanca","Sitionuevo","Magdalena","CO","5","2005-01-01","RNOA","Johana Patricia Reyes","humanobservation","Si"
"SiB_1442954","Vanellus chilensis","Vanellus chilensis",-74.199,11.143,"Reserva Mamankana - Hotel Zuana","Distrito TurÌstico Cultural E HistÛrico De Santa Marta","Magdalena","CO","15","2002-01-23","RNOA","Walberto Naranjo Maury","humanobservation","Si"
"SiB_1048428","Vanellus chilensis","Vanellus chilensis",-73.3548,11.0558,"Valle De San Salvador","Dibulla","La Guajira","CO","0.5","2005-01-01","RNOA","Ralf Strewe","humanobservation","Si"
"SiB_1437433","Vanellus chilensis","Vanellus chilensis",-72.5272,11.1473,"Zonas AledaÒas","Albania","La Guajira","CO","100","2007-11-07","RNOA","Wilmer NuÒez","humanobservation","Si"
"SiB_1214763","Vanellus chilensis","Vanellus chilensis",-75.35,10.25,"Hacienda El Ceibal","Loma De Arena","BolÌvar","CO",NA,"2002-12-21","RNOA","Johana Patricia Reyes","humanobservation","Si"
